dair	dair(POSTP.invar)
aşağıdan	aşağı(POSTP),case.abl
aşağıdasın	aşağı(POSTP),case.loc,predic.pres.2p.sg
aşağıdasınız	aşağı(POSTP),case.loc,predic.pres.2p.pl
aşağıdaydı	aşağı(POSTP),case.loc,predic.perf.3p.sg
aşağıdaydık	aşağı(POSTP),case.loc,predic.perf.1p.pl
aşağıdaydılar	aşağı(POSTP),case.loc,predic.perf.3p.pl
aşağıdaydım	aşağı(POSTP),case.loc,predic.perf.1p.sg
aşağıdaydın	aşağı(POSTP),case.loc,predic.perf.2p.sg
aşağıdaydınız	aşağı(POSTP),case.loc,predic.perf.2p.pl
aşağıdayken	aşağı(POSTP),case.loc,converb
aşağıdaymış	aşağı(POSTP),case.loc,predic.evid.3p.sg
aşağıdaymışlar	aşağı(POSTP),case.loc,predic.evid.3p.pl
aşağıdaymışsın	aşağı(POSTP),case.loc,predic.evid.2p.sg
aşağıdaymışsınız	aşağı(POSTP),case.loc,predic.evid.2p.pl
aşağıdaymışım	aşağı(POSTP),case.loc,predic.evid.1p.sg
aşağıdaymışız	aşağı(POSTP),case.loc,predic.evid.1p.pl
aşağıdaysa	aşağı(POSTP),case.loc,predic.cond.3p.sg
aşağıdaysak	aşağı(POSTP),case.loc,predic.cond.1p.pl
aşağıdaysalar	aşağı(POSTP),case.loc,predic.cond.3p.pl
aşağıdaysam	aşağı(POSTP),case.loc,predic.cond.1p.sg
aşağıdaysan	aşağı(POSTP),case.loc,predic.cond.2p.sg
aşağıdaysanız	aşağı(POSTP),case.loc,predic.cond.2p.pl
aşağıdayım	aşağı(POSTP),case.loc,predic.pres.1p.sg
aşağıdayız	aşağı(POSTP),case.loc,predic.pres.1p.pl
aşağıdır	aşağı(POSTP),case.nom,predic.pres.3p.sg
aşağıdırlar	aşağı(POSTP),case.nom,predic.pres.3p.pl
aşağılardı	aşağı(POSTP),case.nom,predic.perf.3p.pl
aşağılardır	aşağı(POSTP),case.nom,predic.pres.3p.pl
aşağılarmış	aşağı(POSTP),case.nom,predic.evid.3p.pl
aşağılarsa	aşağı(POSTP),case.nom,predic.cond.3p.pl
aşağının	aşağı(POSTP),case.gen
aşağınınken	aşağı(POSTP),case.gen,converb
aşağısın	aşağı(POSTP),case.nom,predic.pres.2p.sg
aşağısınız	aşağı(POSTP),case.nom,predic.pres.2p.pl
aşağıya	aşağı(POSTP),case.dat
aşağıydı	aşağı(POSTP),case.nom,predic.perf.3p.sg
aşağıydık	aşağı(POSTP),case.nom,predic.perf.1p.pl
aşağıydılar	aşağı(POSTP),case.nom,predic.perf.3p.pl
aşağıydım	aşağı(POSTP),case.nom,predic.perf.1p.sg
aşağıydın	aşağı(POSTP),case.nom,predic.perf.2p.sg
aşağıydınız	aşağı(POSTP),case.nom,predic.perf.2p.pl
aşağıyken	aşağı(POSTP),case.nom,converb
aşağıyla	aşağı(POSTP),case.instr
aşağıymış	aşağı(POSTP),case.nom,predic.evid.3p.sg
aşağıymışlar	aşağı(POSTP),case.nom,predic.evid.3p.pl
aşağıymışsın	aşağı(POSTP),case.nom,predic.evid.2p.sg
aşağıymışsınız	aşağı(POSTP),case.nom,predic.evid.2p.pl
aşağıymışım	aşağı(POSTP),case.nom,predic.evid.1p.sg
aşağıymışız	aşağı(POSTP),case.nom,predic.evid.1p.pl
aşağıysa	aşağı(POSTP),case.nom,predic.cond.3p.sg
aşağıysak	aşağı(POSTP),case.nom,predic.cond.1p.pl
aşağıysalar	aşağı(POSTP),case.nom,predic.cond.3p.pl
aşağıysam	aşağı(POSTP),case.nom,predic.cond.1p.sg
aşağıysan	aşağı(POSTP),case.nom,predic.cond.2p.sg
aşağıysanız	aşağı(POSTP),case.nom,predic.cond.2p.pl
aşağıyı	aşağı(POSTP),case.acc
aşağıyım	aşağı(POSTP),case.nom,predic.pres.1p.sg
aşağıyız	aşağı(POSTP),case.nom,predic.pres.1p.pl
dışarı	dışarı(POSTP),case.nom
dışarıda	dışarı(POSTP),case.loc
dışarıdadır	dışarı(POSTP),case.loc,predic.pres.3p.sg
dışarıdadırlar	dışarı(POSTP),case.loc,predic.pres.3p.pl
dışarıdalardı	dışarı(POSTP),case.loc,predic.perf.3p.pl
dışarıdalardır	dışarı(POSTP),case.loc,predic.pres.3p.pl
dışarıdalarmış	dışarı(POSTP),case.loc,predic.evid.3p.pl
dışarıdalarsa	dışarı(POSTP),case.loc,predic.cond.3p.pl
dışarıdan	dışarı(POSTP),case.abl
dışarıdasın	dışarı(POSTP),case.loc,predic.pres.2p.sg
dışarıdasınız	dışarı(POSTP),case.loc,predic.pres.2p.pl
dışarıdaydı	dışarı(POSTP),case.loc,predic.perf.3p.sg
dışarıdaydık	dışarı(POSTP),case.loc,predic.perf.1p.pl
dışarıdaydılar	dışarı(POSTP),case.loc,predic.perf.3p.pl
dışarıdaydım	dışarı(POSTP),case.loc,predic.perf.1p.sg
dışarıdaydın	dışarı(POSTP),case.loc,predic.perf.2p.sg
dışarıdaydınız	dışarı(POSTP),case.loc,predic.perf.2p.pl
dışarıdayken	dışarı(POSTP),case.loc,converb
dışarıdaymış	dışarı(POSTP),case.loc,predic.evid.3p.sg
dışarıdaymışlar	dışarı(POSTP),case.loc,predic.evid.3p.pl
dışarıdaymışsın	dışarı(POSTP),case.loc,predic.evid.2p.sg
dışarıdaymışsınız	dışarı(POSTP),case.loc,predic.evid.2p.pl
dışarıdaymışım	dışarı(POSTP),case.loc,predic.evid.1p.sg
dışarıdaymışız	dışarı(POSTP),case.loc,predic.evid.1p.pl
dışarıdaysa	dışarı(POSTP),case.loc,predic.cond.3p.sg
dışarıdaysak	dışarı(POSTP),case.loc,predic.cond.1p.pl
dışarıdaysalar	dışarı(POSTP),case.loc,predic.cond.3p.pl
dışarıdaysam	dışarı(POSTP),case.loc,predic.cond.1p.sg
dışarıdaysan	dışarı(POSTP),case.loc,predic.cond.2p.sg
dışarıdaysanız	dışarı(POSTP),case.loc,predic.cond.2p.pl
dışarıdayım	dışarı(POSTP),case.loc,predic.pres.1p.sg
dışarıdayız	dışarı(POSTP),case.loc,predic.pres.1p.pl
dışarıdır	dışarı(POSTP),case.nom,predic.pres.3p.sg
dışarıdırlar	dışarı(POSTP),case.nom,predic.pres.3p.pl
dışarılardı	dışarı(POSTP),case.nom,predic.perf.3p.pl
dışarılardır	dışarı(POSTP),case.nom,predic.pres.3p.pl
dışarılarmış	dışarı(POSTP),case.nom,predic.evid.3p.pl
dışarılarsa	dışarı(POSTP),case.nom,predic.cond.3p.pl
dışarının	dışarı(POSTP),case.gen
dışarısın	dışarı(POSTP),case.nom,predic.pres.2p.sg
dışarısınız	dışarı(POSTP),case.nom,predic.pres.2p.pl
dışarıya	dışarı(POSTP),case.dat
dışarıydı	dışarı(POSTP),case.nom,predic.perf.3p.sg
dışarıydık	dışarı(POSTP),case.nom,predic.perf.1p.pl
dışarıydılar	dışarı(POSTP),case.nom,predic.perf.3p.pl
dışarıydım	dışarı(POSTP),case.nom,predic.perf.1p.sg
dışarıydın	dışarı(POSTP),case.nom,predic.perf.2p.sg
dışarıydınız	dışarı(POSTP),case.nom,predic.perf.2p.pl
dışarıyken	dışarı(POSTP),case.nom,converb
dışarıyla	dışarı(POSTP),case.instr
dışarıymış	dışarı(POSTP),case.nom,predic.evid.3p.sg
dışarıymışlar	dışarı(POSTP),case.nom,predic.evid.3p.pl
dışarıymışsın	dışarı(POSTP),case.nom,predic.evid.2p.sg
dışarıymışsınız	dışarı(POSTP),case.nom,predic.evid.2p.pl
dışarıymışım	dışarı(POSTP),case.nom,predic.evid.1p.sg
dışarıymışız	dışarı(POSTP),case.nom,predic.evid.1p.pl
dışarıysa	dışarı(POSTP),case.nom,predic.cond.3p.sg
dışarıysak	dışarı(POSTP),case.nom,predic.cond.1p.pl
dışarıysalar	dışarı(POSTP),case.nom,predic.cond.3p.pl
dışarıysam	dışarı(POSTP),case.nom,predic.cond.1p.sg
dışarıysan	dışarı(POSTP),case.nom,predic.cond.2p.sg
dışarıysanız	dışarı(POSTP),case.nom,predic.cond.2p.pl
dışarıyı	dışarı(POSTP),case.acc
dışarıyım	dışarı(POSTP),case.nom,predic.pres.1p.sg
dışarıyız	dışarı(POSTP),case.nom,predic.pres.1p.pl
yukarı	yukarı(POSTP),case.nom
yukarıda	yukarı(POSTP),case.loc
yukarıdadır	yukarı(POSTP),case.loc,predic.pres.3p.sg
yukarıdadırlar	yukarı(POSTP),case.loc,predic.pres.3p.pl
yukarıdalardı	yukarı(POSTP),case.loc,predic.perf.3p.pl
yukarıdalardır	yukarı(POSTP),case.loc,predic.pres.3p.pl
yukarıdalarmış	yukarı(POSTP),case.loc,predic.evid.3p.pl
yukarıdalarsa	yukarı(POSTP),case.loc,predic.cond.3p.pl
yukarıdan	yukarı(POSTP),case.abl
yukarıdasın	yukarı(POSTP),case.loc,predic.pres.2p.sg
yukarıdasınız	yukarı(POSTP),case.loc,predic.pres.2p.pl
yukarıdaydı	yukarı(POSTP),case.loc,predic.perf.3p.sg
yukarıdaydık	yukarı(POSTP),case.loc,predic.perf.1p.pl
yukarıdaydılar	yukarı(POSTP),case.loc,predic.perf.3p.pl
yukarıdaydım	yukarı(POSTP),case.loc,predic.perf.1p.sg
yukarıdaydın	yukarı(POSTP),case.loc,predic.perf.2p.sg
yukarıdaydınız	yukarı(POSTP),case.loc,predic.perf.2p.pl
yukarıdayken	yukarı(POSTP),case.loc,converb
yukarıdaymış	yukarı(POSTP),case.loc,predic.evid.3p.sg
yukarıdaymışlar	yukarı(POSTP),case.loc,predic.evid.3p.pl
yukarıdaymışsın	yukarı(POSTP),case.loc,predic.evid.2p.sg
yukarıdaymışsınız	yukarı(POSTP),case.loc,predic.evid.2p.pl
yukarıdaymışım	yukarı(POSTP),case.loc,predic.evid.1p.sg
yukarıdaymışız	yukarı(POSTP),case.loc,predic.evid.1p.pl
yukarıdaysa	yukarı(POSTP),case.loc,predic.cond.3p.sg
yukarıdaysak	yukarı(POSTP),case.loc,predic.cond.1p.pl
yukarıdaysalar	yukarı(POSTP),case.loc,predic.cond.3p.pl
yukarıdaysam	yukarı(POSTP),case.loc,predic.cond.1p.sg
yukarıdaysan	yukarı(POSTP),case.loc,predic.cond.2p.sg
yukarıdaysanız	yukarı(POSTP),case.loc,predic.cond.2p.pl
yukarıdayım	yukarı(POSTP),case.loc,predic.pres.1p.sg
yukarıdayız	yukarı(POSTP),case.loc,predic.pres.1p.pl
yukarıdır	yukarı(POSTP),case.nom,predic.pres.3p.sg
yukarıdırlar	yukarı(POSTP),case.nom,predic.pres.3p.pl
yukarılardı	yukarı(POSTP),case.nom,predic.perf.3p.pl
yukarılardır	yukarı(POSTP),case.nom,predic.pres.3p.pl
yukarılarmış	yukarı(POSTP),case.nom,predic.evid.3p.pl
yukarılarsa	yukarı(POSTP),case.nom,predic.cond.3p.pl
yukarının	yukarı(POSTP),case.gen
yukarısın	yukarı(POSTP),case.nom,predic.pres.2p.sg
yukarısınız	yukarı(POSTP),case.nom,predic.pres.2p.pl
yukarıya	yukarı(POSTP),case.dat
yukarıydı	yukarı(POSTP),case.nom,predic.perf.3p.sg
yukarıydık	yukarı(POSTP),case.nom,predic.perf.1p.pl
yukarıydılar	yukarı(POSTP),case.nom,predic.perf.3p.pl
yukarıydım	yukarı(POSTP),case.nom,predic.perf.1p.sg
yukarıydın	yukarı(POSTP),case.nom,predic.perf.2p.sg
yukarıydınız	yukarı(POSTP),case.nom,predic.perf.2p.pl
yukarıyken	yukarı(POSTP),case.nom,converb
yukarıyla	yukarı(POSTP),case.instr
yukarıymış	yukarı(POSTP),case.nom,predic.evid.3p.sg
yukarıymışlar	yukarı(POSTP),case.nom,predic.evid.3p.pl
yukarıymışsın	yukarı(POSTP),case.nom,predic.evid.2p.sg
yukarıymışsınız	yukarı(POSTP),case.nom,predic.evid.2p.pl
yukarıymışım	yukarı(POSTP),case.nom,predic.evid.1p.sg
yukarıymışız	yukarı(POSTP),case.nom,predic.evid.1p.pl
yukarıysa	yukarı(POSTP),case.nom,predic.cond.3p.sg
yukarıysak	yukarı(POSTP),case.nom,predic.cond.1p.pl
yukarıysalar	yukarı(POSTP),case.nom,predic.cond.3p.pl
yukarıysam	yukarı(POSTP),case.nom,predic.cond.1p.sg
yukarıysan	yukarı(POSTP),case.nom,predic.cond.2p.sg
yukarıysanız	yukarı(POSTP),case.nom,predic.cond.2p.pl
yukarıyı	yukarı(POSTP),case.acc
yukarıyım	yukarı(POSTP),case.nom,predic.pres.1p.sg
yukarıyız	yukarı(POSTP),case.nom,predic.pres.1p.pl
beri	beri(POSTP),num.sg,case.nom
